GEOID,Year,Score,Confidence,normalized_score,cumulative_score
18097330204,2027,-0.27730996142346437,High,-0.9870276523173094,-3.0424286126748017
18097330204,2028,-0.26922833393569667,High,-0.9112309471296443,-3.9536595598044464
18097330210,2024,-6.4342787672154858E-2,High,-0.24890012209333112,-0.24890012209333112
18097330210,2025,-0.12271319476051284,High,-0.3899939340095397,-0.6388940561028709
18097330210,2026,-0.14324849325901845,High,-0.41968510129398096,-1.0585791573968517
18097330210,2027,-0.20410396822765048,High,-0.6883826637892743,-1.746961821186126
18097330210,2028,-0.14554693549017825,High,-0.4247307762408121,-2.1716925974269383
18097330211,2024,-7.6183870257279851E-2,Low,-0.303166242515798,-0.303166242515798
18097330211,2025,-0.28689356287882412,Low,-1.075647644383601,-1.3788138868993989
18097330211,2026,-0.54174620511433458,Low,-2.0230662302194573,-3.401880117118856
18097330211,2027,-0.36267133411978081,Low,-1.3352607006886343,-4.73714081780749
