GEOID,NAME,year,estimate
18097321600,NA,2024,58225.184464086116
18097321600,NA,2025,57897.208248454706
18097321600,NA,2026,58099.5238666421
18097321600,NA,2027,57974.50500091255
18097321600,NA,2028,58051.67582952807
18097321700,NA,2024,139421.98423869407
18097321700,NA,2025,167363.1361761224
18097321700,NA,2026,193780.94641412492
18097321700,NA,2027,220156.03975212877
18097321700,NA,2028,247644.03051524248
18097321800,NA,2024,137334.4960070793
18097321800,NA,2025,136693.78316531135
18097321800,NA,2026,136449.38853583482
18097321800,NA,2027,136355.97992554048
18097321800,NA,2028,136320.25149942347
18097321900,NA,2024,143686.70200848096
18097321900,NA,2025,143774.47483430605
18097321900,NA,2026,143767.7912722508
18097321900,NA,2027,143768.30004525272
18097321900,NA,2028,143768.26131501477
18097322000,NA,2024,62734.76880616621
18097322000,NA,2025,66231.18903874262
18097322000,NA,2026,69979.29804844533
18097322000,NA,2027,73913.64463846385
18097322000,NA,2028,78080.9591518931
18097322100,NA,2024,110141.92112448944
18097322100,NA,2025,110873.36423053351
18097322100,NA,2026,111154.06831727862
18097322100,NA,2027,111261.48950816381
18097322100,NA,2028,111302.55361063505
18097322200,NA,2024,106502.28547729859
18097322200,NA,2025,108711.92098861223
18097322200,NA,2026,110345.87692891237
18097322200,NA,2027,111548.29650629878
18097322200,NA,2028,112430.04124594177
18097322300,NA,2024,109602.52863583028
18097322300,NA,2025,109879.13269763428
18097322300,NA,2026,109935.95724226462
18097322300,NA,2027,109947.61699083353
18097322300,NA,2028,109950.00884592746
18097322400,NA,2024,57809.39288819582
18097322400,NA,2025,58217.35670697003
18097322400,NA,2026,58454.02321447433
18097322400,NA,2027,58590.99576800684
18097322400,NA,2028,58670.16249291395
18097322500,NA,2024,39916.9265188415
18097322500,NA,2025,39914.58829759385
18097322500,NA,2026,39914.5224166271
18097322500,NA,2027,39914.52056033191
18097322500,NA,2028,39914.52050802797
18097322600,NA,2024,25409.70225772421
18097322600,NA,2025,25409.711094723967
18097322600,NA,2026,25409.710056801592
18097322600,NA,2027,25409.7101787075
18097322600,NA,2028,25409.710164389413
18097322602,NA,2024,62878.404053099875
18097322602,NA,2025,65893.25356614703
18097322602,NA,2026,63760.06129672313
18097322602,NA,2027,65251.6747154859
18097322602,NA,2028,64199.94247886433
18097322700,NA,2024,59661.902588907236
18097322700,NA,2025,59680.395203619126
18097322700,NA,2026,59682.50744127389
18097322700,NA,2027,59682.74866544518
18097322700,NA,2028,59682.77621352168
18097330103,NA,2024,70985.92961733586
18097330103,NA,2025,71048.00116682706
18097330103,NA,2026,71039.81287238836
18097330103,NA,2027,71040.89258415307
18097330103,NA,2028,71040.75020486768
18097330105,NA,2024,68123.95905801532
18097330105,NA,2025,69557.050170552
18097330105,NA,2026,70593.09988174257
18097330105,NA,2027,71338.25862042994
18097330105,NA,2028,71872.24080479445
18097330106,NA,2024,46315.57861322234
18097330106,NA,2025,46073.283814465285
18097330106,NA,2026,45951.62286904056
18097330106,NA,2027,45890.414883254496
18097330106,NA,2028,45859.59057701798
18097330107,NA,2024,128464.4158436197
18097330107,NA,2025,132124.032397387
18097330107,NA,2026,133931.21665376113
18097330107,NA,2027,134814.10327270866
18097330107,NA,2028,135243.1943107994
18097330108,NA,2024,145476.7208473524
18097330108,NA,2025,145466.3621832864
18097330108,NA,2026,145465.5053144591
18097330108,NA,2027,145465.43443175202
18097330108,NA,2028,145465.42856810908
18097330109,NA,2024,86714.22011900145
18097330109,NA,2025,86713.99238957498
18097330109,NA,2026,86713.98989355948
18097330109,NA,2027,86713.98986620194
18097330109,NA,2028,86713.98986590204
18097330202,NA,2024,41258.735265734045
18097330202,NA,2025,41258.83356765767
18097330202,NA,2026,41258.849764704966
18097330202,NA,2027,41258.8524334629
18097330202,NA,2028,41258.85287318915
18097330203,NA,2024,206304.62191693884
18097330203,NA,2025,216547.01787523826
18097330203,NA,2026,234792.1279106515
18097330203,NA,2027,247837.93874103227
18097330203,NA,2028,267473.68027064315
18097330204,NA,2024,118955.16280765459
