GEOID,year,zhvi_forecast,NAME,zhvi_zscore
18097321002,2028,353558.09630902944,NA,0.5490177038401279
18097321100,2024,266737.08045981376,NA,0.4189225776695738
18097321100,2025,290619.4454453191,NA,0.42894231189708654
18097321100,2026,290685.09034133726,NA,0.42737248647160564
18097321100,2027,316862.7496772689,NA,0.43236904270987186
18097321100,2028,345485.56932629156,NA,0.43271620507318637
18097321200,2024,322395.5665317627,NA,1.2550640892502096
18097321200,2025,345793.99605200416,NA,1.2415963922939
18097321200,2026,345879.8487804518,NA,1.2405202392407744
18097321200,2027,371177.8718399799,NA,1.2210769687077778
18097321200,2028,398438.2581154539,NA,1.1956095448028843
18097321300,2024,345765.28677459515,NA,1.6061407100515535
18097321300,2025,369662.87544450304,NA,1.5931559794500738
18097321300,2026,369718.944202198,NA,1.591725814161915
18097321300,2027,395397.6225311106,NA,1.5727710932015706
18097321300,2028,422930.5100226681,NA,1.5484712461112402
18097321400,2024,345765.28677459515,NA,1.6061407100515535
18097321400,2025,369662.87544450304,NA,1.5931559794500738
18097321400,2026,369718.944202198,NA,1.591725814161915
18097321400,2027,395397.6225311106,NA,1.5727710932015706
18097321400,2028,422930.5100226681,NA,1.5484712461112402
18097321600,2024,288411.1414377519,NA,0.7445257944864531
18097321600,2025,314165.3948143404,NA,0.7757455322432714
18097321600,2026,314182.3661402086,NA,0.7735422596961107
18097321600,2027,342274.06462668884,NA,0.8013658287356262
18097321600,2028,372896.7846439401,NA,0.8276316301046479
18097321700,2024,330979.6811380547,NA,1.384020786944216
18097321700,2025,356431.16708178946,NA,1.3982689949011322
18097321700,2026,356434.27270056016,NA,1.3960115636910195
18097321700,2027,383849.9073768063,NA,1.4050871387757313
18097321700,2028,413377.92904972134,NA,1.410846499037372
18097321800,2024,287741.1701923698,NA,0.734461008155305
18097321800,2025,310489.13144768495,NA,0.7215986403759926
18097321800,2026,310639.3549958317,NA,0.7213454273960969
18097321800,2027,335548.3313939571,NA,0.7037016995284411
18097321800,2028,362663.0855896368,NA,0.6801939639945945
18097321900,2024,195287.4145333217,NA,-0.65444531078648
18097321900,2025,214740.00823232732,NA,-0.6886695869097574
18097321900,2026,215358.36881838995,NA,-0.6823661202734627
18097321900,2027,238444.64335513985,NA,-0.7063374451947234
18097321900,2028,265181.7348536342,NA,-0.7242271319851764
18097322000,2024,194919.61755453664,NA,-0.6599706195668623
18097322000,2025,214309.13414477347,NA,-0.6950158386061955
18097322000,2026,214929.9535655357,NA,-0.6886776779278867
18097322000,2027,237952.1502398725,NA,-0.7134889199230159
18097322000,2028,264623.66756928345,NA,-0.7322672490044912
18097322100,2024,279920.70273697964,NA,0.6169763631190713
18097322100,2025,309862.1889287055,NA,0.7123645389538569
18097322100,2026,309862.565275585,NA,0.7099014998700882
18097322100,2027,343007.59370366443,NA,0.812017377952941
18097322100,2028,379698.50599144807,NA,0.9256245372329663
